Venue,Latitude,Longitude,Venue Category
Herndon Grocery & Bakery Panaderia y Deli,38.9699958046461,-77.38510358052594,Convenience Store
News Exchange,38.953159057541406,-77.44902842634154,Convenience Store
High-up,38.9980958380101,-77.40725654598643,Convenience Store
Capitol City Ink,38.95154555804279,-77.44771172833303,Convenience Store
Capitol City Ink,38.948726,-77.442755,Convenience Store
Phuoc Loc Tho,38.996449,-77.40826,Convenience Store
DC Express - Dulles Airport,38.952804,-77.44684,Convenience Store
Tiger Mart,38.979511,-77.423601,Convenience Store
new asia halal meat,38.977377,-77.408858,Convenience Store
Sauson Market,39.00533490797997,-77.42905221683257,Convenience Store
7-Eleven,38.9681289,-77.3816306,Convenience Store
Wawa,38.889045,-76.720087,Convenience Store
Dollar Tree,38.9084400035571,-76.71948677583183,Discount Store
7-Eleven,38.900239,-76.789483,Convenience Store
Dollar Tree,38.89563023590337,-76.82657269697887,Discount Store
CVS pharmacy,38.90005161458235,-76.7900553273806,Convenience Store
7-Eleven,38.8795810095767,-76.8278995156288,Convenience Store
7-Eleven,38.9263664267096,-76.7325376050303,Convenience Store
D&S General Store,38.937884965845015,-76.78786260588886,Convenience Store
Watkins Park Liquor,38.899276,-76.789873,Convenience Store
7-Eleven,38.9381575651064,-76.7187242209911,Convenience Store
Wegmans,38.921705971689235,-76.8499760211945,Supermarket
Walgreens,38.93287001721102,-76.90230935811991,Convenience Store
Wawa,38.870068,-76.850837,Convenience Store
7-Eleven,38.8559951015329,-76.9012606143951,Convenience Store
7-Eleven,38.899090792437654,-76.93203762173653,Convenience Store
Dollar Tree,38.866474322085836,-76.85307404746571,Discount Store
Dollar Tree,38.894106,-76.950466,Discount Store
7-Eleven,38.9132109800995,-76.8818839135496,Convenience Store
Dollar Tree,38.887675,-76.900619,Discount Store
7-Eleven,38.926452,-76.885685,Convenience Store
7-Eleven,38.8898104826265,-76.8526368588209,Convenience Store
7-Eleven,38.87259052723107,-76.92823559045792,Convenience Store
Dollar Tree,38.90066654792841,-76.8358877624057,Discount Store
Shell,38.89290724,-76.95121927,Gas Station
Shell,38.887093870160605,-76.89883900808127,Convenience Store
7-Eleven,38.934411882687264,-76.8648174405098,Convenience Store
